mmsi,type,type_specific,name,country_iso
636020918,Cargo - Hazard D (Recognizable),Container Ship,MSC ANAHITA,LR
636020899,Cargo,Container Ship,MSC MARIA CLARA,LR
636020896,Tanker,Crude Oil Tanker,JARNAIN,LR
636020885,Cargo,Vehicles Carrier,LAKE COMO,LR
636020869,Cargo,Container Ship,PORTO CHELI,LR
636020860,Tanker - Hazard A (Major),LNG Tanker,VIVIRT CITY LNG,LR
636020839,Tanker,Crude Oil Tanker,PIS RINJANI,LR
636020838,,,,
636020782,Cargo,Container Ship,MSC SHAHAR,LR
636020743,Cargo - Hazard A (Major),Container Ship,HMM DAON,LR
636020730,Cargo - Hazard A (Major),Container Ship,MSC ABY,LR
636020714,Other,Oil or Chemical Tanker,KRITI EPISKOPI,LR
636020693,Tanker,Crude Oil Tanker,CRUDE LEVANTE,LR
636020648,Cargo,Container Ship,ZIM IBERIA,LR
636020615,Cargo - Hazard A (Major),Container Ship,HMM MIR,LR
636020608,Cargo,Bulk Carrier,RUTH,LR
636020543,Cargo - Hazard A (Major),Container Ship,MSC AMELIA,LR
636020515,Cargo - Hazard A (Major),General Cargo,MAX,LR
636020510,Cargo,Bulk Carrier,MOHAC,LR
636020499,Cargo - Hazard A (Major),Container Ship,MSC VANCOUVER,LR
636020498,Cargo - Hazard A (Major),Container Ship,MSC YOKOHAMA,LR
636020495,Cargo,Container Ship,MSC TIANPING,LR
636020455,Cargo,Container Ship,CINDY,LR
636020429,,,,
636020428,Tanker - Hazard B,Oil or Chemical Tanker,STOLT ARGON,LR
636020426,Tanker - Hazard A (Major),Oil or Chemical Tanker,STOLT MERCURY,LR
636020417,Cargo,Bulk Carrier,STAR VIRGINIA,LR
636020384,Cargo - Hazard A (Major),Container Ship,HMM GARAM,LR
636020367,Tanker,Oil or Chemical Tanker,SOLAR CATIE,LR
636020366,Tanker,Oil or Chemical Tanker,SOLAR NAAMA,LR
636020364,Tanker,Oil or Chemical Tanker,SOLAR ROMA,LR
636020334,Cargo - Hazard A (Major),Container Ship,MSC SHRISTI,LR
636020332,Cargo,Container Ship,HMM NURI,LR
636020327,Cargo - Hazard A (Major),Container Ship,C HAMBURG,LR
636020326,Cargo - Hazard A (Major),Container Ship,BREMEN,LR
636020311,,,,
636020288,Cargo,Bulk Carrier,HUGO OLDENDORFF,LR
636020265,Cargo - Hazard D (Recognizable),Container Ship,TB BRIGHT CITY,LR
636020264,,,,
636020258,Cargo - Hazard D (Recognizable),Container Ship,FOS EXPRESS,LR
636020245,Cargo,Vehicles Carrier,SPICA LEADER,LR
636020244,Cargo,Bulk Carrier,VITA FUTURE,LR
636020191,Cargo - Hazard A (Major),Container Ship,SAN ALFONSO,LR
636020153,Cargo,Container Ship,JONATHAN P,LR
636020115,Tanker - Hazard D (Recognizable),Oil or Chemical Tanker,HISTRIA DIONE,LR
636020098,Tanker,Crude Oil Tanker,KRITI HERO,LR
636020097,Tanker,Crude Oil Tanker,KRITI KING,LR
636020078,Tanker - Hazard D (Recognizable),LNG Tanker,KOOL ORCA,LR
636020075,,,,
636020074,,,,
636019831,Tanker - Hazard A (Major),Crude Oil Tanker,NEW DISCOVERY,LR
636019828,Tanker,Oil or Chemical Tanker,BOCHEM LUXEMBOURG,LR
636019759,Cargo - Hazard A (Major),Container Ship,MYNY,LR
636019720,,,,
636019711,Cargo,Bulk Carrier,ADAPEARL,LR
636019640,Cargo,Bulk Carrier,ANDREAS K,LR
636019584,Cargo,General Cargo,BAOSHAN STAR,LR
636019562,Cargo - Hazard C (Minor),Container Ship,CONTSHIP ACE,LR
636019558,Cargo,Bulk Carrier,PETREL S,LR
636019542,Cargo,Bulk Carrier,ML HERON,LR
636019446,Cargo,Container Ship,ALOPO,LR
636019352,,,,
636019331,Cargo,Container Ship,MSC QINGDAO,LR
636019327,Tanker,Crude Oil Tanker,SINBAD,LR
636019289,Cargo - Hazard A (Major),Container Ship,MSC HARMONY III,LR
636019247,Cargo,Bulk Carrier,ADAROSE,LR
636019204,Tanker - Hazard A (Major),Oil or Chemical Tanker,CHEM SILICON,LR
636019203,Tanker - Hazard B,Oil or Chemical Tanker,CHEM NEON,LR
636019201,Tanker,Oil or Chemical Tanker,CHEM LITHIUM,LR
636019180,Tanker,Oil or Chemical Tanker,PACIFIC BLUE,LR
636019177,Tanker,Oil or Chemical Tanker,LAVENDER RAY,LR
636019167,Tanker,Crude Oil Tanker,SELIGER,LR
636019162,,,,
636019143,,,,
636019072,Tanker,Oil Products Tanker,TYRRHENIAN SEA,LR
636019071,Tanker,Oil Products Tanker,CASPIAN SEA,LR
636019063,,,,
636019021,Cargo - Hazard B,Container Ship,MSC BIANCA,LR
636018895,,,,
636018868,Cargo,Bulk Carrier,GREEN K MAX 3,LR
636018818,Tanker,Oil or Chemical Tanker,ACADIA PARK,LR
636018800,Cargo,Container Ship,KARLSKRONA,LR
636018766,Tanker,Crude Oil Tanker,DELTA MED,LR
636018712,Cargo - Hazard A (Major),Container Ship,CONTSHIP CUB,LR
636018704,Cargo,Container Ship,CONTSHIP ZEN,LR
